1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageType,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolQC,RoofMatl,RoofStyle,SaleCondition,SalePrice,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YrSold,Age_House,Age_Renovation,Garage_age,TotalSF
856,854,0,1,3,1Fam,4,3,706.0,0.0,2,6,1.0,0.0,2,150.0,1,Norm,Norm,SBrkr,0,4,2,VinylSd,VinylSd,4,3,0,PConc,2,6,548.0,2.0,5,2,Attchd,1710,1,GasA,0,2Story,1,2,Lvl,0,8450,Inside,65.0,3,0,RL,196.0,BrkFace,None,0,CollgCr,61,4,7,2,3,CompShg,Gable,Normal,208500.0,WD,0,1,8,856.0,AllPub,0,2,17,17,17.0,2566.0
1262,0,0,1,3,1Fam,4,1,978.0,0.0,0,6,0.0,1.0,2,284.0,1,Feedr,Norm,SBrkr,0,4,3,MetalSd,MetalSd,4,5,1,CBlock,2,6,460.0,2.0,5,2,Attchd,1262,0,GasA,0,1Story,1,3,Lvl,0,9600,FR2,80.0,3,0,RL,0.0,None,None,0,Veenker,0,7,6,2,3,CompShg,Gable,Normal,181500.0,WD,0,1,6,1262.0,AllPub,298,1,44,44,44.0,2524.0
920,866,0,1,3,1Fam,4,2,486.0,0.0,2,6,1.0,0.0,2,434.0,1,Norm,Norm,SBrkr,0,4,2,VinylSd,VinylSd,4,5,1,PConc,2,6,608.0,2.0,5,2,Attchd,1786,1,GasA,0,2Story,1,2,Lvl,0,11250,Inside,68.0,0,0,RL,162.0,BrkFace,None,0,CollgCr,42,4,7,2,3,CompShg,Gable,Normal,223500.0,WD,0,1,6,920.0,AllPub,0,2,19,18,19.0,2706.0
961,756,0,1,3,1Fam,1,3,216.0,0.0,0,6,1.0,0.0,4,540.0,1,Norm,Norm,SBrkr,272,4,3,Wd Sdng,Wd Shng,4,2,1,BrkTil,1,6,642.0,3.0,5,3,Detchd,1717,0,GasA,2,2Story,1,2,Lvl,0,9550,Corner,60.0,0,0,RL,0.0,None,None,0,Crawfor,35,4,7,2,3,CompShg,Gable,Abnorml,140000.0,WD,0,1,7,756.0,AllPub,0,0,105,50,22.0,2473.0
1145,1053,0,1,4,1Fam,4,0,655.0,0.0,2,6,1.0,0.0,2,490.0,1,Norm,Norm,SBrkr,0,4,2,VinylSd,VinylSd,4,5,1,PConc,2,6,836.0,3.0,5,2,Attchd,2198,1,GasA,0,2Story,1,2,Lvl,0,14260,FR2,84.0,0,0,RL,350.0,BrkFace,None,0,NoRidge,84,4,8,2,3,CompShg,Gable,Normal,250000.0,WD,0,1,9,1145.0,AllPub,192,2,20,20,20.0,3343.0
796,566,320,1,1,1Fam,4,3,732.0,0.0,2,6,1.0,0.0,2,64.0,1,Norm,Norm,SBrkr,0,4,3,VinylSd,VinylSd,2,3,0,Wood,1,6,480.0,2.0,5,3,Attchd,1362,1,GasA,0,1.5Fin,1,3,Lvl,0,14115,Inside,85.0,0,0,RL,0.0,None,Shed,700,Mitchel,30,4,5,2,3,CompShg,Gable,Normal,143000.0,WD,0,1,5,796.0,AllPub,40,3,27,25,27.0,2158.0
1694,0,0,1,3,1Fam,4,0,1369.0,0.0,2,6,1.0,0.0,0,317.0,1,Norm,Norm,SBrkr,0,4,2,VinylSd,VinylSd,4,2,1,PConc,2,6,636.0,2.0,5,2,Attchd,1694,0,GasA,0,1Story,1,2,Lvl,0,10084,Inside,75.0,3,0,RL,186.0,Stone,None,0,Somerst,57,4,8,2,3,CompShg,Gable,Normal,307000.0,WD,0,1,7,1686.0,AllPub,255,1,16,15,16.0,3380.0
1107,983,0,1,3,1Fam,4,2,859.0,32.0,0,1,1.0,0.0,2,216.0,1,PosN,Norm,SBrkr,228,4,3,HdBoard,HdBoard,4,5,2,CBlock,2,6,484.0,2.0,5,2,Attchd,2090,1,GasA,0,2Story,1,3,Lvl,0,10382,Corner,87.18,0,0,RL,240.0,Stone,Shed,350,NWAmes,204,5,7,2,3,CompShg,Gable,Normal,200000.0,WD,0,1,7,1107.0,AllPub,235,3,47,47,47.0,3197.0
1022,752,0,1,2,1Fam,4,3,0.0,0.0,6,6,0.0,0.0,4,952.0,1,Artery,Norm,FuseF,205,4,3,BrkFace,Wd Shng,4,5,2,BrkTil,2,2,468.0,2.0,5,3,Detchd,1774,0,GasA,2,1.5Fin,2,3,Lvl,0,6120,Inside,51.0,3,0,RM,0.0,None,None,0,OldTown,0,4,7,2,3,CompShg,Gable,Abnorml,129900.0,WD,0,1,8,952.0,AllPub,90,2,89,70,89.0,2726.0
1077,0,0,1,2,2fmCon,4,3,851.0,0.0,2,6,1.0,0.0,4,140.0,1,Artery,Artery,SBrkr,0,4,3,MetalSd,MetalSd,4,5,2,BrkTil,1,6,205.0,1.0,5,2,Attchd,1077,0,GasA,0,1.5Unf,2,3,Lvl,0,7420,Corner,50.0,3,0,RL,0.0,None,None,0,BrkSide,4,5,5,2,3,CompShg,Gable,Normal,118000.0,WD,0,1,5,991.0,AllPub,0,2,81,70,81.0,2068.0
